2116	2150	1	-40	5	Martin_-_Poções
2107	2144	1	0	-3	Balmus 
2130	2126	1	0	0	Rainy_Equip._Defesa
2134	2126	1	-60	-15	Foreleamer_-_Skills
2144	2120	1	0	-10	Capitão_-_Skills 
2144	2116	1	0	-5	Ferreiro_Equip._defesa
2074	2120	1	0	-5	Arnold_Equip._defesa
2074	2124	1	0	-9	Mestre_Archie_-_Skills
2090	2126	1	-60	5	Lapein_Equip._Defesa
2094	2126	1	-50	-15	Foema_-_Skills
2104	2116	1	-25	-13	Banqueiro
2076	2100	1	0	-5	Galford_Armas
2068	2068	1	0	-5	Dragão_Dourado
2144	2088	1	0	-10	Aki_Poções_Derivados 
2146	2080	1	0	-7	Banqueiro
2152	2068	1	0	-3	Mestre_de_Habilidade
2117	2101	3	-30	-13	Zona_de_teleporte 
2141	2069	3	0	-5	Zona_de_teleporte
2112	2075	2	0	-5	Campo_de_treinamento
2112	2082	1	0	-10	Comandante_do_treinamento 
2123	2144	2	-30	-15	Região_PvP
2104	2148	2	-45	-3	Zona_de_Guilda
2144	2102	2	0	-5	Saída_para_campo
2100	2116	1	0	3	Neil_Itens_Premium
2146	2076	1	-65	5	Neil_Itens_Premium
2486	2129	4	0	0	Porta_Sul_do_castelo_do_ORC
2518	2105	4	0	0	Porta_Leste_do_castelo_do_ORC
2669	2157	2	0	0	Entrada_para_Dungeon
2365	2284	2	0	0	Entrada_para_Dungeon
2445	1721	1	0	-5	Líder_de_guerreiros 
2506	1726	1	0	-5	Sacerdote 
2516	1726	1	0	-5	Jephi_Alquimista
2460	1734	1	0	-5	Arnold_Ferreiro
2528	1726	1	0	-5	Aylin
2528	1734	1	0	-5	Compositor
2536	1734	1	0	-5	Arcada 
2486	1702	1	0	-5	Ruti
2474	1688	1	0	-4	Banqueiro
2466	1692	1	0	0	Lapein 
2466	1686	1	0	0	Arnold 
2500	1690	1	-30	-13	Rainy
2500	1684	1	0	-5	Ferreiro 
2490	1688	1	0	-5	Dragão_Prateado
2538	1714	1	0	-5	Kara
2550	1716	1	0	-5	Lucy
2594	1724	1	0	-5	Banqueiro
2481	1717	3	0	-5	Zona_de_teleporte
2469	1717	3	0	-5	Zona_de_teleporte
2453	1717	3	-30	-13	Zona_de_teleporte
2434	1719	2	0	-5	Saída_para_campo
2485	1750	2	0	-5	Saída_para_campo
2555	1730	2	0	-5	Entrada_do_Coliseu
2575	1739	2	0	-5	Campo_menor
2575	1716	2	0	-5	Campo_menor
2602	1733	2	0	-5	Campo_maior
2478	1688	1	-40	-13	Neil
2594	1728	1	0	-10	Neil
2379	1613	2	0	0	Entrada_para_Terra_Mistica
2398	1729	2	0	0	Entrada_Cubo_da_maldade
1965	1773	2	0	0	Zona_Elemental_de_Água
1825	1774	2	0	0	Underworld
1800	1726	2	0	0	Zona_do_equilíbrio
1742	1815	2	0	0	Akelonia
1742	1640	2	0	0	Hekalotia
2240	1273	2	0	0	Dois_Castelos
2468	1994	1	0	0	Lubien
2468	1998	1	0	-5	Neptus
2468	1996	1	0	-5	Reimers
2468	1992	1	0	0	Rophelion
2458	1986	1	-40	10	Empis
2456	2010	1	-80	-5	Mestre_de_Montaria
2468	2006	1	-30	-13	Parche
2468	2002	1	0	-5	Lanos
2466	1990	1	-55	-5	Banqueiro
2466	2018	1	-70	-5	C._de_Montaria_-_Ração
2457	2017	3	-70	-5	Zona_de_teleporte
2475	2010	2	-28	-15	Saída_para_Campo
2466	1988	1	-50	5	Neil
1056	1738	1	0	-5	Berlund
1064	1738	1	0	-5	Hestia
1048	1744	1	-25	6	Angela
1060	1744	1	-36	-5	Judith
1068	1744	1	-30	-15	Prona
1045	1725	3	0	-5	Zona_de_teleporte
1045	1717	3	0	-5	Zona_de_teleporte
1045	1709	3	0	-5	Zona_de_teleporte
1046	1690	2	-30	-15	Altar_de_Thor
1130	1707	2	0	0	Deserto_de_Noatun
1314	1900	2	0	0	Dungeon_Kefra
148	3772	2	0	0	Início_do_campo
148	3780	2	0	0	Entrada_2º_andar_Dugeon
747	3816	2	0	0	Entrada_2º_andar_Dugeon
410	4072	2	0	0	Entrada_2º_andar_Dugeon
917	3822	2	0	0	Entrada_2º_andar_Dugeon
1004	4030	2	0	0	Entrada_1º_andar_Dugeon
1005	3993	2	0	0	Entrada_1º_andar_Dugeon
1006	4065	2	0	0	Entrada_1º_andar_Dugeon
682	4077	2	0	0	Entrada_3º_andar_Dugeon
1515	3997	2	0	0	Underworld_2º_andar
1305	3818	2	0	0	Underworld_1º_andar
2465	2080	1	0	0	Unicórnio_(Arco)
2391	2140	1	0	0	Unicórnio_(Florete)
2527	2008	1	0	0	Unicórnio_(Cajado)
2600	2081	1	0	0	Carbuncle
2368	2104	1	0	0	Carbuncle
2277	2118	1	0	0	Carbuncle
2208	2106	1	0	0	Carbuncle
1705	1725	1	0	0	Líder_de_aprendizado
2481	1646	1	0	0	Jully
3649	3134	1	0	0	Jully
2373	2097	1	-30	-15	Coveiro
2223	1714	1	0	0	Jardineiro
452	3912	1	0	0	Batedor
667	3767	1	0	0	Batedor
1300	4036	1	0	0	Guarda
2627	1985	1	0	0	Sacerdote_Jester
2663	1971	1	0	0	Sacerdote_Kruno
2244	1595	1	0	0	Comandante_de_treinamento
1967	1579	1	0	0	Guarda
1973	1579	1	0	0	Sacerdote_Amerlia
787	4058	1	0	0	Batedor
2234	1567	1	0	0	Chefe_de_treinamento
1744	1890	1	0	0	Guarda_do_reino
1750	1584	1	0	0	Guarda_do_reino
